2025-04-11 01:50:54 install unzip:amd64 <none> 6.0-28ubuntu4.1
2025-04-11 01:50:54 status half-installed unzip:amd64 6.0-28ubuntu4.1
2025-04-11 01:50:54 status unpacked unzip:amd64 6.0-28ubuntu4.1
2025-04-11 01:50:54 startup packages configure
2025-04-11 01:50:54 configure libexpat1:amd64 2.6.1-2ubuntu0.3 <none>
2025-04-11 01:50:54 status unpacked libexpat1:amd64 2.6.1-2ubuntu0.3
2025-04-11 01:50:54 status half-configured libexpat1:amd64 2.6.1-2ubuntu0.3
2025-04-11 01:50:54 status installed libexpat1:amd64 2.6.1-2ubuntu0.3
2025-04-11 01:50:54 configure libxau6:amd64 1:1.0.9-1build6 <none>
2025-04-11 01:50:54 status unpacked libxau6:amd64 1:1.0.9-1build6
2025-04-11 01:50:54 status half-configured libxau6:amd64 1:1.0.9-1build6
2025-04-11 01:50:54 status installed libxau6:amd64 1:1.0.9-1build6
2025-04-11 01:50:54 configure net-tools:amd64 2.10-0.1ubuntu4 <none>
2025-04-11 01:50:54 status unpacked net-tools:amd64 2.10-0.1ubuntu4
2025-04-11 01:50:54 status half-configured net-tools:amd64 2.10-0.1ubuntu4
2025-04-11 01:50:54 status installed net-tools:amd64 2.10-0.1ubuntu4
2025-04-11 01:50:54 configure libkeyutils1:amd64 1.6.3-3build1 <none>
2025-04-11 01:50:54 status unpacked libkeyutils1:amd64 1.6.3-3build1
2025-04-11 01:50:54 status half-configured libkeyutils1:amd64 1.6.3-3build1
2025-04-11 01:50:54 status installed libkeyutils1:amd64 1.6.3-3build1
2025-04-11 01:50:54 configure libgdbm6t64:amd64 1.23-5.1build1 <none>
2025-04-11 01:50:54 status unpacked libgdbm6t64:amd64 1.23-5.1build1
2025-04-11 01:50:54 status half-configured libgdbm6t64:amd64 1.23-5.1build1
2025-04-11 01:50:54 status installed libgdbm6t64:amd64 1.23-5.1build1
2025-04-11 01:50:54 configure libgdbm-compat4t64:amd64 1.23-5.1build1 <none>
2025-04-11 01:50:54 status unpacked libgdbm-compat4t64:amd64 1.23-5.1build1
2025-04-11 01:50:54 status half-configured libgdbm-compat4t64:amd64 1.23-5.1build1
2025-04-11 01:50:54 status installed libgdbm-compat4t64:amd64 1.23-5.1build1
2025-04-11 01:50:54 configure libcbor0.10:amd64 0.10.2-1.2ubuntu2 <none>
2025-04-11 01:50:54 status unpacked libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-04-11 01:50:54 status half-configured libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-04-11 01:50:54 status installed libcbor0.10:amd64 0.10.2-1.2ubuntu2
2025-04-11 01:50:54 configure unzip:amd64 6.0-28ubuntu4.1 <none>
2025-04-11 01:50:54 status unpacked unzip:amd64 6.0-28ubuntu4.1
2025-04-11 01:50:54 status half-configured unzip:amd64 6.0-28ubuntu4.1
2025-04-11 01:50:54 status installed unzip:amd64 6.0-28ubuntu4.1
2025-04-11 01:50:54 configure libbrotli1:amd64 1.1.0-2build2 <none>
2025-04-11 01:50:54 status unpacked libbrotli1:amd64 1.1.0-2build2
2025-04-11 01:50:54 status half-configured libbrotli1:amd64 1.1.0-2build2
2025-04-11 01:50:54 status installed libbrotli1:amd64 1.1.0-2build2
2025-04-11 01:50:55 configure libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1 <none>
2025-04-11 01:50:55 status unpacked libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 status half-configured libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 status installed libsasl2-modules:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 configure libpsl5t64:amd64 0.21.2-1.1build1 <none>
2025-04-11 01:50:55 status unpacked libpsl5t64:amd64 0.21.2-1.1build1
2025-04-11 01:50:55 status half-configured libpsl5t64:amd64 0.21.2-1.1build1
2025-04-11 01:50:55 status installed libpsl5t64:amd64 0.21.2-1.1build1
2025-04-11 01:50:55 configure libnghttp2-14:amd64 1.59.0-1ubuntu0.2 <none>
2025-04-11 01:50:55 status unpacked libnghttp2-14:amd64 1.59.0-1ubuntu0.2
2025-04-11 01:50:55 status half-configured libnghttp2-14:amd64 1.59.0-1ubuntu0.2
2025-04-11 01:50:55 status installed libnghttp2-14:amd64 1.59.0-1ubuntu0.2
2025-04-11 01:50:55 configure less:amd64 590-2ubuntu2.1 <none>
2025-04-11 01:50:55 status unpacked less:amd64 590-2ubuntu2.1
2025-04-11 01:50:55 status half-configured less:amd64 590-2ubuntu2.1
2025-04-11 01:50:55 status installed less:amd64 590-2ubuntu2.1
2025-04-11 01:50:55 configure krb5-locales:all 1.20.1-6ubuntu2.5 <none>
2025-04-11 01:50:55 status unpacked krb5-locales:all 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status half-configured krb5-locales:all 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status installed krb5-locales:all 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 configure libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2 <none>
2025-04-11 01:50:55 status unpacked libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:55 status half-configured libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:55 status installed libldap-common:all 2.6.7+dfsg-1~exp1ubuntu8.2
2025-04-11 01:50:55 configure libkrb5support0:amd64 1.20.1-6ubuntu2.5 <none>
2025-04-11 01:50:55 status unpacked libkrb5support0:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status half-configured libkrb5support0:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status installed libkrb5support0:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 configure libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1 <none>
2025-04-11 01:50:55 status unpacked libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 status half-configured libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 status installed libsasl2-modules-db:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 configure libcap2-bin:amd64 1:2.66-5ubuntu2.2 <none>
2025-04-11 01:50:55 status unpacked libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-04-11 01:50:55 status half-configured libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-04-11 01:50:55 status installed libcap2-bin:amd64 1:2.66-5ubuntu2.2
2025-04-11 01:50:55 configure libx11-data:all 2:1.8.7-1build1 <none>
2025-04-11 01:50:55 status unpacked libx11-data:all 2:1.8.7-1build1
2025-04-11 01:50:55 status half-configured libx11-data:all 2:1.8.7-1build1
2025-04-11 01:50:55 status installed libx11-data:all 2:1.8.7-1build1
2025-04-11 01:50:55 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7 <none>
2025-04-11 01:50:55 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7
2025-04-11 01:50:55 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7
2025-04-11 01:50:55 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-2build7
2025-04-11 01:50:55 configure perl-modules-5.38:all 5.38.2-3.2build2.1 <none>
2025-04-11 01:50:55 status unpacked perl-modules-5.38:all 5.38.2-3.2build2.1
2025-04-11 01:50:55 status half-configured perl-modules-5.38:all 5.38.2-3.2build2.1
2025-04-11 01:50:55 status installed perl-modules-5.38:all 5.38.2-3.2build2.1
2025-04-11 01:50:55 configure patch:amd64 2.7.6-7build3 <none>
2025-04-11 01:50:55 status unpacked patch:amd64 2.7.6-7build3
2025-04-11 01:50:55 status half-configured patch:amd64 2.7.6-7build3
2025-04-11 01:50:55 status installed patch:amd64 2.7.6-7build3
2025-04-11 01:50:55 configure libk5crypto3:amd64 1.20.1-6ubuntu2.5 <none>
2025-04-11 01:50:55 status unpacked libk5crypto3:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status half-configured libk5crypto3:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status installed libk5crypto3:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 configure libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1 <none>
2025-04-11 01:50:55 status unpacked libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 status half-configured libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 status installed libsasl2-2:amd64 2.1.28+dfsg1-5ubuntu3.1
2025-04-11 01:50:55 configure nano:amd64 7.2-2ubuntu0.1 <none>
2025-04-11 01:50:55 status unpacked nano:amd64 7.2-2ubuntu0.1
2025-04-11 01:50:55 status half-configured nano:amd64 7.2-2ubuntu0.1
2025-04-11 01:50:55 status installed nano:amd64 7.2-2ubuntu0.1
2025-04-11 01:50:55 configure git-man:all 1:2.43.0-1ubuntu7.2 <none>
2025-04-11 01:50:55 status unpacked git-man:all 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:55 status half-configured git-man:all 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:55 status installed git-man:all 1:2.43.0-1ubuntu7.2
2025-04-11 01:50:55 configure netbase:all 6.4 <none>
2025-04-11 01:50:55 status unpacked netbase:all 6.4
2025-04-11 01:50:55 status half-configured netbase:all 6.4
2025-04-11 01:50:55 status installed netbase:all 6.4
2025-04-11 01:50:55 configure libkrb5-3:amd64 1.20.1-6ubuntu2.5 <none>
2025-04-11 01:50:55 status unpacked libkrb5-3:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status half-configured libkrb5-3:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 status installed libkrb5-3:amd64 1.20.1-6ubuntu2.5
2025-04-11 01:50:55 configure libperl5.38t64:amd64 5.38.2-3.2build2.1 <none>
2025-04-11 01:50:55 status unpacked libperl5.38t64:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:55 status half-configured libperl5.38t64:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:55 status installed libperl5.38t64:amd64 5.38.2-3.2build2.1
2025-04-11 01:50:55 configure libfido2-1:amd64 1.14.0-1build3 <none>
2025-04-11 01:50:55 status unpacked libfido2-1:amd64 1.14.0-1build3
2025-04-11 01:50:55 status half-configured libfido2-1:amd64 1.14.0-1build3
2025-04-11 01:50:55 status installed libfido2-1:amd64 1.14.0-1build3
2025-04-11 01:50:55 configure openssl:amd64 3.0.13-0ubuntu3.5 <none>
2025-04-11 01:50:55 status unpacked openssl:amd64 3.0.13-0ubuntu3.5
2025-04-11 01:50:55 status half-configured openssl:amd64 3.0.13-0ubuntu3.5
2025-04-11 01:50:55 status installed openssl:amd64 3.0.13-0ubuntu3.5
2025-04-11 01:50:55 configure libbsd0:amd64 0.12.1-1build1.1 <none>
2025-04-11 01:50:55 status unpacked libbsd0:amd64 0.12.1-1build1.1
2025-04-11 01:50:55 status half-configured libbsd0:amd64 0.12.1-1build1.1
